tip	is_ST50	country	region	source	ST
25ER2037	YES	New Zealand	Oceania	source:NCBI_background	50
25ER2187	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4026	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4563	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4649	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4745	YES	New Zealand	Oceania	source:NCBI_background	50
A11284	NO				
A11285	NO				
A11286	NO				
A11287	NO				
A11288	NO				
A11289	NO				
A11290	NO				
A11291	NO				
A11292	NO				
A11293	NO				
A11294	NO				
A11295	NO				
A11296	NO				
A11297	NO				
A11298	NO				
A11299	NO				
A11301	NO				
A11302	NO				
A11303	NO				
A11304	NO				
A11305	NO				
A11306	NO				
A11307	NO				
A11308	NO				
A11309	NO				
A11310	NO				
A11311	NO				
A11312	NO				
A11313	NO				
A11314	NO				
A11315	NO				
A11316	NO				
A11317	NO				
A11318	NO				
A11319	NO				
A11320	NO				
A11321	NO				
A11322	NO				
A11323	NO				
A11324	NO				
A11325	NO				
A11326	NO				
A11327	NO				
A11328	NO				
A11329	NO				
A11330	NO				
A11331	NO				
A11332	NO				
A11333	NO				
A11335	NO				
A11336	NO				
A11338	NO				
A11339	NO				
A11340	NO				
A11341	NO				
A11342	NO				
A11344	NO				
A11345	NO				
A11346	NO				
A11347	NO				
A11349	NO				
A11350	NO				
A11351	NO				
A11353	NO				
A11354	NO				
A11355	NO				
A11356	NO				
A11357	NO				
A11358	NO				
A11359	NO				
A11360	NO				
A11361	NO				
A11362	NO				
A11363	NO				
A11367	NO				
A11368	NO				
A11369	NO				
A11370	NO				
A11371	NO				
A11372	NO				
A11373	NO				
A11374	NO				
A11375	NO				
A11376	NO				
AUSMDU00056626	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065023	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065256	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065274	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066124	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066210	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066214	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066215	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066221	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066227	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066358	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066360	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066437	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066531	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066590	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00067286	YES	Australia	Oceania	source:NCBI_background	50
CDC_K5485	YES	USA	USA	source:NA_Asia_local	50
GCA_015744865.1	NO				
GCA_015744945.1	NO				
GCA_015744985.1	NO				
GCA_015745065.1	NO				
GCA_015745285.1	NO				
GCA_015745305.1	NO				
GCA_015745365.1	NO				
GCA_015745405.1	NO				
GCA_015745725.1	NO				
GCA_015745805.1	NO				
GCA_015745865.1	NO				
GCA_015745875.1	NO				
GCA_015745945.1	NO				
GCA_015774415.1	NO				
GCA_015774435.1	NO				
GCA_015774615.1	NO				
GCA_015779405.1	NO				
GCA_015779425.1	NO				
GCA_015779445.1	NO				
GCA_015780315.1	NO				
GCA_015780395.1	NO				
GCA_015780435.1	NO				
GCA_015780635.1	NO				
GCA_015780655.1	NO				
GCA_015780695.1	NO				
GCA_015780755.1	NO				
GCA_015782595.1	NO				
GCA_015782695.1	NO				
GCA_015782855.1	NO				
GCA_015784215.1	NO				
GCA_015788135.1	NO				
GCA_015788235.1	NO				
GCA_015908385.1	NO				
GCA_015910125.1	NO				
GCA_015960045.1	NO				
GCA_015960065.1	NO				
GCA_015960085.1	NO				
GCA_015960185.1	NO				
GCA_015960205.1	NO				
GCA_015960225.1	NO				
GCA_015960245.1	NO				
GCA_015960265.1	NO				
GCA_015960385.1	NO				
GCA_015960405.1	NO				
GCA_015960425.1	NO				
GCA_015960445.1	NO				
GCA_015960485.1	NO				
GCA_015960665.1	NO				
GCA_015960685.1	NO				
GCA_015960725.1	NO				
GCA_016146875.1	NO				
GCA_016147415.1	NO				
GCA_016169625.1	NO				
GCA_016216265.1	NO				
GCA_016429525.1	NO				
GCA_016429585.1	NO				
GCA_016429705.1	NO				
GCA_016429785.1	NO				
GCA_016429845.1	NO				
GCA_016429865.1	NO				
GCA_016429905.1	NO				
GCA_016429945.1	NO				
GCA_016429985.1	NO				
GCA_016430025.1	NO				
GCA_016430065.1	NO				
GCA_016430085.1	NO				
GCA_016430165.1	NO				
GCA_016430205.1	NO				
GCA_016432225.1	NO				
GCA_016541065.1	NO				
GCA_016728545.1	NO				
GCA_016728585.1	NO				
GCA_017020515.1	NO				
GCA_017078635.1	NO				
GCA_017108585.1	NO				
GCA_017126575.1	NO				
GCA_017160295.1	NO				
GCA_017180535.1	NO				
GCA_017180575.1	NO				
GCA_017180615.1	NO				
GCA_017180635.1	NO				
GCA_017180655.1	NO				
GCA_017253915.1	NO				
GCA_017253935.1	NO				
GCA_017260635.1	NO				
GCA_017637585.1	NO				
GCA_017637645.1	NO				
GCA_017637685.1	NO				
GCA_017637725.1	NO				
GCA_017637745.1	NO				
GCA_017662455.1	NO				
GCA_017662495.1	NO				
GCA_017662515.1	NO				
GCA_017968025.1	NO				
GCA_017968045.1	NO				
GCA_017968065.1	NO				
GCA_017968085.1	NO				
GCA_017968105.1	NO				
GCA_017968125.1	NO				
GCA_017968145.1	NO				
GCA_017968165.1	NO				
GCA_017968185.1	NO				
GCA_017968205.1	NO				
GCA_017977725.1	NO				
GCA_017977885.1	NO				
GCA_017980065.1	NO				
GCA_018017015.1	NO				
GCA_018017095.1	NO				
GCA_018018275.1	NO				
GCA_018023935.1	NO				
GCA_018025135.1	NO				
GCA_018025155.1	NO				
GCA_018031085.1	NO				
GCA_018031095.1	NO				
GCA_018033365.1	NO				
GCA_018033385.1	NO				
GCA_018051045.1	NO				
GCA_018081025.1	NO				
GCA_018081045.1	NO				
GCA_018081065.1	NO				
GCA_018081085.1	NO				
GCA_018081105.1	NO				
GCA_018081125.1	NO				
GCA_018081145.1	NO				
GCA_018081165.1	NO				
GCA_018083445.1	NO				
GCA_018279845.1	NO				
GCA_018498665.1	NO				
GCA_018620435.1	NO				
GCA_018771785.1	NO				
GCA_018985455.1	NO				
GCA_018991165.1	NO				
GCA_018992305.1	NO				
GCA_018992345.1	NO				
GCA_018994605.1	NO				
GCA_018994665.1	NO				
GCA_018996245.1	NO				
GCA_018996745.1	NO				
GCA_018997295.1	NO				
GCA_018997485.1	NO				
GCA_018997785.1	NO				
GCA_018998185.1	NO				
GCA_018998205.1	NO				
GCA_018998335.1	NO				
GCA_018999525.1	NO				
GCA_018999825.1	NO				
GCA_019000205.1	NO				
GCA_019000245.1	NO				
GCA_019000345.1	NO				
GCA_019000625.1	NO				
GCA_019000665.1	NO				
GCA_019055475.1	NO				
GCA_019055595.1	NO				
GCA_019058655.1	NO				
GCA_019059295.1	NO				
GCA_019059315.1	NO				
GCA_019061805.1	NO				
GCA_019062345.1	NO				
GCA_019062905.1	NO				
GCA_019063725.1	NO				
GCA_019064705.1	NO				
GCA_019064885.1	NO				
GCA_019064985.1	NO				
GCA_019065025.1	NO				
GCA_019065545.1	NO				
GCA_019065945.1	NO				
GCA_019066165.1	NO				
GCA_019066225.1	NO				
GCA_019066385.1	NO				
GCA_019066525.1	NO				
GCA_019067225.1	NO				
GCA_019068305.1	NO				
GCA_019068885.1	NO				
GCA_019076945.1	NO				
GCA_019105305.1	NO				
GCA_019147685.1	NO				
GCA_019274895.1	NO				
GCA_019274915.1	NO				
GCA_019290435.1	NO				
GCA_019290755.1	NO				
GCA_019291035.1	NO				
GCA_019291605.1	NO				
GCA_019291805.1	NO				
GCA_019291845.1	NO				
GCA_019291885.1	NO				
GCA_019332715.1	NO				
GCA_019332795.1	NO				
GCA_019333385.1	NO				
GCA_019358575.1	NO				
GCA_019358585.1	NO				
GCA_019377495.1	NO				
GCA_019377575.1	NO				
GCA_019393495.1	NO				
GCA_019393695.1	NO				
GCA_019437985.1	NO				
GCA_019438005.1	NO				
GCA_019438425.1	NO				
GCA_019442585.1	NO				
GCA_019442605.1	NO				
GCA_019442625.1	NO				
GCA_019442665.1	NO				
GCA_019442865.1	NO				
GCA_019496325.1	NO				
GCA_019496345.1	NO				
GCA_019496785.1	NO				
GCA_019563195.1	NO				
GCA_019563415.1	NO				
GCA_019563495.1	NO				
GCA_019563515.1	NO				
GCA_019563555.1	NO				
GCA_019563675.1	NO				
GCA_019569755.1	NO				
GCA_019643395.1	NO				
GCA_019644695.1	NO				
GCA_019645235.1	NO				
GCA_019656735.1	NO				
GCA_019656815.1	NO				
GCA_019681575.1	NO				
GCA_019681915.1	NO				
GCA_019681935.1	NO				
GCA_019682055.1	NO				
GCA_019682495.1	NO				
GCA_019682535.1	NO				
GCA_019682635.1	NO				
GCA_019682655.1	NO				
GCA_019682685.1	NO				
GCA_019682795.1	NO				
GCA_019683435.1	NO				
GCA_019683515.1	NO				
GCA_019727375.1	NO				
GCA_019727395.1	NO				
GCA_019727435.1	NO				
GCA_019727535.1	NO				
GCA_019727555.1	NO				
GCA_019758695.1	NO				
GCA_019758815.1	NO				
GCA_019759015.1	NO				
GCA_019759275.1	NO				
GCA_019764315.1	NO				
GCA_019764355.1	NO				
GCA_019772195.1	NO				
GCA_019772275.1	NO				
GCA_019772935.1	NO				
GCA_019773215.1	NO				
GCA_019773335.1	NO				
GCA_019773395.1	NO				
GCA_019773435.1	NO				
GCA_019773555.1	NO				
GCA_019773575.1	NO				
GCA_019774295.1	NO				
GCA_019788465.1	NO				
GCA_019804745.1	NO				
GCA_019804785.1	NO				
GCA_019808395.1	NO				
GCA_019835005.1	NO				
GCA_019846875.1	NO				
GCA_019865405.1	NO				
GCA_019868345.1	NO				
GCA_019902045.1	NO				
GCA_019902765.1	NO				
GCA_019902945.1	NO				
GCA_019944595.1	NO				
GCA_019945295.1	NO				
GCA_020006705.1	NO				
GCA_020006765.1	NO				
GCA_020006805.1	NO				
GCA_020010245.1	NO				
GCA_020010345.1	NO				
GCA_020010385.1	NO				
GCA_020010425.1	NO				
GCA_020010445.1	NO				
GCA_020045325.1	NO				
GCA_020045405.1	NO				
GCA_020045585.1	NO				
GCA_020086635.1	NO				
GCA_020086875.1	NO				
GCA_020086895.1	NO				
GCA_020086905.1	NO				
GCA_020086975.1	NO				
GCA_020087115.1	NO				
GCA_020087185.1	NO				
GCA_020087505.1	NO				
GCA_020124555.1	NO				
GCA_020124575.1	NO				
GCA_020124615.1	NO				
GCA_020124635.1	NO				
GCA_020124895.1	NO				
GCA_020124935.1	NO				
GCA_020124955.1	NO				
GCA_020125155.1	NO				
GCA_020125295.1	NO				
GCA_020190745.1	NO				
GCA_020190785.1	NO				
GCA_020209705.1	NO				
GCA_020222875.1	NO				
GCA_020223155.1	NO				
GCA_020238465.1	NO				
GCA_020238485.1	NO				
GCA_020239005.1	NO				
GCA_020260445.1	NO				
GCA_020260465.1	NO				
GCA_020261025.1	NO				
GCA_020261425.1	NO				
GCA_020276785.1	NO				
GCA_020280185.1	NO				
GCA_020280225.1	NO				
GCA_020281585.1	NO				
GCA_020407235.1	NO				
GCA_020409985.1	NO				
GCA_020410245.1	NO				
GCA_020410325.1	NO				
GCA_020410365.1	NO				
GCA_020410385.1	NO				
GCA_020410425.1	NO				
GCA_020410565.1	NO				
GCA_020410625.1	NO				
GCA_020410645.1	NO				
GCA_020410705.1	NO				
GCA_020410905.1	NO				
GCA_020410945.1	NO				
GCA_020410985.1	NO				
GCA_020411005.1	NO				
GCA_020411065.1	NO				
GCA_020411085.1	NO				
GCA_020411105.1	NO				
GCA_020411125.1	NO				
GCA_020411165.1	NO				
GCA_020412105.1	NO				
GCA_020412765.1	NO				
GCA_020413425.1	NO				
GCA_020413445.1	NO				
GCA_020413525.1	NO				
GCA_020413565.1	NO				
GCA_020451425.1	NO				
GCA_020451465.1	NO				
GCA_020451485.1	NO				
GCA_020451505.1	NO				
GCA_020451525.1	NO				
GCA_020451545.1	NO				
GCA_020451565.1	NO				
GCA_020451585.1	NO				
GCA_020451645.1	NO				
GCA_020451665.1	NO				
GCA_020452185.1	NO				
GCA_020452195.1	NO				
GCA_020452225.1	NO				
GCA_020452245.1	NO				
GCA_020452465.1	NO				
GCA_020452545.1	NO				
GCA_020502785.1	NO				
GCA_020502885.1	NO				
GCA_020502925.1	NO				
GCA_020502945.1	NO				
GCA_020509945.1	NO				
GCA_020510005.1	NO				
GCA_020510045.1	NO				
GCA_020514125.1	NO				
GCA_020521175.1	NO				
GCA_020521195.1	NO				
GCA_020550985.1	NO				
GCA_020586515.1	NO				
GCA_020586925.1	NO				
GCA_020610535.1	NO				
GCA_020610615.1	NO				
GCA_020610635.1	NO				
GCA_020610675.1	NO				
GCA_020610735.1	NO				
GCA_020614455.1	NO				
GCA_020679505.1	NO				
GCA_020701435.1	NO				
GCA_020764655.1	NO				
GCA_020773535.1	NO				
GCA_020812115.1	NO				
GCA_020812655.1	NO				
GCA_020825195.1	NO				
GCA_020825235.1	NO				
GCA_020825295.1	NO				
GCA_020903215.1	NO				
GCA_020908185.1	NO				
GCA_020943985.1	NO				
GCA_020944005.1	NO				
GCA_020944785.1	NO				
GCA_020946345.1	NO				
GCA_020958775.1	NO				
GCA_020958835.1	NO				
GCA_020961675.1	NO				
GCA_020962915.1	NO				
GCA_020966935.1	NO				
GCA_020966945.1	NO				
GCA_020967495.1	NO				
GCA_020967555.1	NO				
GCA_020967575.1	NO				
GCA_020969355.1	NO				
GCA_020969995.1	NO				
GCA_020970015.1	NO				
GCA_020970095.1	NO				
GCA_020970115.1	NO				
GCA_020972685.1	NO				
GCA_020977645.1	NO				
GCA_021164445.1	NO				
GCA_021207355.1	NO				
GCA_021209095.1	NO				
GCA_021218345.1	NO				
GCA_021260825.1	NO				
GCA_021260845.1	NO				
GCA_021261185.1	NO				
GCA_021271265.1	NO				
GCA_021362915.1	NO				
GCA_021537555.1	NO				
GCA_021537575.1	NO				
GCA_021537615.1	NO				
GCA_021537635.1	NO				
GCA_021551735.1	NO				
GCA_021551755.1	NO				
GCA_021552595.1	NO				
GCA_021552635.1	NO				
GCA_021552695.1	NO				
GCA_021552715.1	NO				
GCA_021553535.1	NO				
GCA_021553595.1	NO				
GCA_021553635.1	NO				
GCA_021553655.1	NO				
GCA_021703735.1	NO				
GCA_021703795.1	NO				
GCA_021703815.1	NO				
GCA_021703835.1	NO				
GCA_021703855.1	NO				
GCA_021703875.1	NO				
GCA_021703895.1	NO				
GCA_021703915.1	NO				
GCA_021703935.1	NO				
GCA_021703955.1	NO				
GCA_021703975.1	NO				
GCA_021703995.1	NO				
GCA_021704015.1	NO				
GCA_021704035.1	NO				
GCA_021704055.1	NO				
GCA_021704415.1	NO				
GCA_021704455.1	NO				
GCA_021704475.1	NO				
GCA_021716615.1	NO				
GCA_021716695.1	NO				
GCA_021716715.1	NO				
GCA_021716735.1	NO				
GCA_021763205.1	NO				
GCA_021763345.1	NO				
GCA_021763705.1	NO				
GCA_021763785.1	NO				
GCA_021764455.1	NO				
GCA_022019595.1	NO				
GCA_022019675.1	NO				
GCA_022019695.1	NO				
GCA_022019715.1	NO				
GCA_022020475.1	NO				
GCA_022020495.1	NO				
GCA_022020515.1	NO				
GCA_022020535.1	NO				
GCA_022020555.1	NO				
GCA_022020575.1	NO				
GCA_022020595.1	NO				
GCA_022020615.1	NO				
GCA_022020635.1	NO				
GCA_022020655.1	NO				
GCA_022020675.1	NO				
GCA_022225995.1	NO				
GCA_022243405.1	NO				
GCA_022521685.1	NO				
GCA_022523965.1	NO				
GCA_022582615.1	NO				
GCA_022584015.1	NO				
GCA_022584395.1	NO				
GCA_022594155.1	NO				
GCA_022597555.1	NO				
GCA_022605935.1	NO				
GCA_022611595.1	NO				
GCA_022612035.1	NO				
GCA_022616895.1	NO				
GCA_022681005.1	NO				
GCA_022902415.1	NO				
GCA_022902575.1	NO				
GCA_022914715.1	NO				
GCA_022917935.1	NO				
GCA_022917955.1	NO				
GCA_022917975.1	NO				
GCA_022917995.1	NO				
GCA_022918015.1	NO				
GCA_022918035.1	NO				
GCA_022927705.1	NO				
GCA_022927745.1	NO				
GCA_022927925.1	NO				
GCA_022927965.1	NO				
GCA_022928005.1	NO				
GCA_022948895.1	NO				
GCA_022966475.1	NO				
GCA_022966955.1	NO				
GCA_022967035.1	NO				
GCA_022967115.1	NO				
GCA_022967135.1	NO				
GCA_022967155.1	NO				
GCA_022967175.1	NO				
GCA_022967475.1	NO				
GCA_022967495.1	NO				
GCA_022967515.1	NO				
GCA_022967535.1	NO				
GCA_022967915.1	NO				
GCA_022995945.1	NO				
GCA_022997325.1	NO				
GCA_023004145.1	NO				
GCA_023079625.1	NO				
GCA_023079645.1	NO				
GCA_023079665.1	NO				
GCA_023079685.1	NO				
GCA_023079705.1	NO				
GCA_023079725.1	NO				
GCA_023079765.1	NO				
GCA_023079805.1	NO				
GCA_023079825.1	NO				
GCA_023079845.1	NO				
GCA_023079865.1	NO				
GCA_023079885.1	NO				
GCA_023079905.1	NO				
GCA_023079925.1	NO				
GCA_023079945.1	NO				
GCA_023079965.1	NO				
GCA_023079985.1	NO				
GCA_023080025.1	NO				
GCA_023080045.1	NO				
GCA_023080065.1	NO				
GCA_023080085.1	NO				
GCA_023080105.1	NO				
GCA_023080125.1	NO				
GCA_023080145.1	NO				
GCA_023080165.1	NO				
GCA_023080185.1	NO				
GCA_023080205.1	NO				
GCA_023080225.1	NO				
GCA_023080245.1	NO				
GCA_023080265.1	NO				
GCA_023080285.1	NO				
GCA_023080305.1	NO				
GCA_023080325.1	NO				
GCA_023080345.1	NO				
GCA_023080365.1	NO				
GCA_023080385.1	NO				
GCA_023080405.1	NO				
GCA_023080425.1	NO				
GCA_023080455.1	NO				
GCA_023080475.1	NO				
GCA_023080495.1	NO				
GCA_023080515.1	NO				
GCA_023080535.1	NO				
GCA_023080555.1	NO				
GCA_023080615.1	NO				
GCA_023081145.1	NO				
GCA_023081165.1	NO				
GCA_023081185.1	NO				
GCA_023081205.1	NO				
GCA_023081225.1	NO				
GCA_023081245.1	NO				
GCA_023081265.1	NO				
GCA_023081285.1	NO				
GCA_023081305.1	NO				
GCA_023081325.1	NO				
GCA_023081345.1	NO				
GCA_023081365.1	NO				
GCA_023081385.1	NO				
GCA_023081415.1	NO				
GCA_023081435.1	NO				
GCA_023081455.1	NO				
GCA_023081475.1	NO				
GCA_023081495.1	NO				
GCA_023081515.1	NO				
GCA_023081535.1	NO				
GCA_023081555.1	NO				
GCA_023081575.1	NO				
GCA_023081595.1	NO				
GCA_023081615.1	NO				
GCA_023081635.1	NO				
GCA_023081655.1	NO				
GCA_023081675.1	NO				
GCA_023081695.1	NO				
GCA_023081715.1	NO				
GCA_023081735.1	NO				
GCA_023081755.1	NO				
GCA_023081775.1	NO				
GCA_023081795.1	NO				
GCA_023081815.1	NO				
GCA_023081835.1	NO				
GCA_023081855.1	NO				
GCA_023081875.1	NO				
GCA_023081895.1	NO				
GCA_023081915.1	NO				
GCA_023081935.1	NO				
GCA_023081955.1	NO				
GCA_023081975.1	NO				
GCA_023081995.1	NO				
GCA_023082015.1	NO				
