tip	Strain	BioSample	GCA	GCA_noversion	match_source
SRR30888313	22ER0089	SAMN44062718	GCA_049267445.1	GCA_049267445	master_by_biosample_via_srr
SRR30888315	22ER0069	SAMN44062716	GCA_049267405.1	GCA_049267405	master_by_biosample_via_srr
SRR30888316	21ER4493	SAMN44062715	GCA_049267385.1	GCA_049267385	master_by_biosample_via_srr
SRR30888319	21ER4351	SAMN44062713	GCA_049267325.1	GCA_049267325	master_by_biosample_via_srr
SRR30888320	21ER4289	SAMN44062712	GCA_049267305.1	GCA_049267305	master_by_biosample_via_srr
SRR30888323	21ER4253	SAMN44062709	GCA_049267245.1	GCA_049267245	master_by_biosample_via_srr
SRR30888324	21ER4169	SAMN44062708	GCA_049267225.1	GCA_049267225	master_by_biosample_via_srr
SRR30888325	21ER4144	SAMN44062707	GCA_049026865.1	GCA_049026865	master_by_biosample_via_srr
SRR33405291	25ER1194	SAMN48287654	GCA_050087935.1	GCA_050087935	master_by_biosample_via_srr
SRR33405296	25ER1001	SAMN48287650	GCA_050087815.1	GCA_050087815	master_by_biosample_via_srr
SRR33405299	25ER0680	SAMN48287647	GCA_050087795.1	GCA_050087795	master_by_biosample_via_srr
SRR34268432	25ER2037	SAMN49683325	GCA_051123905.1	GCA_051123905	master_by_biosample_via_srr
SRR34268433	25ER2006	SAMN49683324	GCA_051124165.1	GCA_051124165	master_by_biosample_via_srr
SRR34268434	25ER1988	SAMN49683323	GCA_051124145.1	GCA_051124145	master_by_biosample_via_srr
SRR34268435	25ER1979	SAMN49683322	GCA_051124125.1	GCA_051124125	master_by_biosample_via_srr
SRR36221478	25ER4026	SAMN53471926	GCA_053754365.1	GCA_053754365	master_by_biosample_via_srr
SRR36221479	25ER2187	SAMN53471925	GCA_053754345.1	GCA_053754345	master_by_biosample_via_srr
SRR36368655	25ER4563	SAMN53798990	GCA_053881955.1	GCA_053881955	master_by_biosample_via_srr
SRR36575974	25ER4745	SAMN54270094	GCA_054145465.1	GCA_054145465	master_by_biosample_via_srr
SRR36575975	25ER4649	SAMN54270093	GCA_054145445.1	GCA_054145445	master_by_biosample_via_srr
Reference	21ER0954	SAMN44062695	GCA_049031475.1	GCA_049031475	master_by_strain
